                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.9933,                0.87025,                0.91374,                0.64297,                 0.6985,                0.72001,                0.51871,                 1.0046,                0.93113,                0.94685,               0.006535,               0.006535,               0.006535
                     38,                 0.9918,                0.84885,                0.91206,                0.64964,                0.76692,                0.76629,                0.55223,                 1.0019,                0.89294,                0.94178,               0.006436,               0.006436,               0.006436
                     39,                0.98992,                0.85592,                0.91189,                0.63279,                0.75064,                0.74297,                0.53299,                0.99663,                 0.9344,                0.93997,               0.006337,               0.006337,               0.006337
                     40,                0.98871,                0.85685,                0.91391,                0.66204,                0.75699,                 0.7673,                0.54887,                 1.0322,                0.96012,                0.95543,               0.006238,               0.006238,               0.006238
                     41,                0.98757,                0.85794,                0.91328,                0.64192,                0.75456,                0.76188,                0.54453,                0.98903,                0.92522,                0.94171,               0.006139,               0.006139,               0.006139
                     42,                0.98644,                0.84969,                0.91488,                0.60086,                0.75901,                0.73357,                0.53363,                0.98717,                0.92588,                0.93668,                0.00604,                0.00604,                0.00604
                     43,                0.97617,                0.83273,                0.91265,                0.62803,                0.73462,                0.75457,                 0.5376,                 1.0409,                0.96177,                0.95201,               0.005941,               0.005941,               0.005941
                     44,                0.97625,                0.84014,                0.90924,                0.63224,                0.77965,                0.76132,                0.55642,                 0.9746,                0.86771,                0.93389,               0.005842,               0.005842,               0.005842
                     45,                 0.9866,                0.82062,                 0.9102,                0.67352,                0.75197,                0.77059,                0.55694,                0.97582,                0.85913,                0.93646,               0.005743,               0.005743,               0.005743
                     46,                0.97678,                0.83018,                0.91424,                 0.6447,                0.76013,                 0.7591,                0.55227,                0.98085,                0.87686,                0.93667,               0.005644,               0.005644,               0.005644
                     47,                0.96916,                0.82513,                0.91115,                0.65372,                0.75845,                0.76451,                0.56013,                0.97369,                0.86511,                0.93345,               0.005545,               0.005545,               0.005545
