                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.98671,                0.84111,                0.91226,                 0.6681,                 0.7481,                0.75909,                0.54959,                0.97884,                0.89896,                0.93564,               0.006535,               0.006535,               0.006535
                     38,                0.98732,                0.82525,                0.91239,                0.65911,                0.75927,                0.77098,                0.54902,                 1.0453,                0.88534,                0.95587,               0.006436,               0.006436,               0.006436
                     39,                0.98191,                0.82733,                0.91113,                0.67103,                0.73678,                0.76083,                0.55151,                0.97686,                0.89213,                0.93805,               0.006337,               0.006337,               0.006337
                     40,                0.97975,                0.82833,                0.91209,                0.66332,                0.76087,                0.77115,                0.55842,                0.98763,                0.87932,                0.94215,               0.006238,               0.006238,               0.006238
                     41,                 0.9799,                0.82387,                0.91139,                0.66433,                0.74903,                0.76693,                0.55168,                0.99152,                0.87419,                0.94194,               0.006139,               0.006139,               0.006139
                     42,                0.97548,                0.82063,                0.91226,                0.63361,                0.76675,                0.75675,                0.55082,                0.97036,                 0.8917,                0.93338,                0.00604,                0.00604,                0.00604
                     43,                0.96658,                0.80523,                   0.91,                0.65554,                0.76467,                0.75159,                0.54802,                 1.0212,                0.88221,                0.94859,               0.005941,               0.005941,               0.005941
                     44,                0.96825,                 0.8133,                 0.9076,                0.65195,                0.76768,                 0.7681,                0.56312,                0.95804,                0.87429,                0.93178,               0.005842,               0.005842,               0.005842
                     45,                 0.9775,                0.78693,                0.90796,                0.64803,                0.77026,                 0.7625,                0.55681,                0.97259,                0.86533,                 0.9365,               0.005743,               0.005743,               0.005743
                     46,                0.96587,                0.80343,                0.91143,                0.67039,                0.73866,                0.76114,                0.55257,                0.95879,                0.86131,                0.93124,               0.005644,               0.005644,               0.005644
                     47,                0.96079,                0.79923,                0.90927,                0.61144,                0.77412,                0.75538,                0.54999,                0.99536,                0.92245,                0.94218,               0.005545,               0.005545,               0.005545
