                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.97958,                0.84944,                0.92168,                0.64749,                0.76474,                0.74222,                0.54616,                0.98604,                0.90024,                0.94428,               0.006634,               0.006634,               0.006634
                     37,                0.98753,                0.84698,                0.91787,                0.66808,                0.74709,                0.74939,                0.54292,                0.99246,                 0.9406,                0.94586,               0.006535,               0.006535,               0.006535
                     38,                0.98916,                0.83104,                0.91807,                0.65707,                0.78178,                0.77702,                 0.5622,                 1.0117,                0.87027,                0.94949,               0.006436,               0.006436,               0.006436
                     39,                0.98575,                  0.834,                0.91621,                0.64528,                0.75718,                  0.747,                0.54676,                 1.0016,                0.90189,                0.95077,               0.006337,               0.006337,               0.006337
                     40,                0.98368,                 0.8375,                0.91779,                 0.6238,                0.77162,                0.76579,                0.54868,                 1.0047,                 0.8839,                0.94809,               0.006238,               0.006238,               0.006238
                     41,                0.98238,                0.83351,                0.91769,                0.63831,                0.76474,                 0.7645,                0.54624,                 1.0401,                0.89449,                0.96045,               0.006139,               0.006139,               0.006139
                     42,                0.97759,                0.82608,                0.91765,                0.64588,                0.76133,                0.76009,                0.55242,                0.99848,                0.88787,                0.94883,                0.00604,                0.00604,                0.00604
                     43,                0.96621,                0.81407,                0.91548,                0.65828,                0.76178,                0.77059,                0.54543,                  1.048,                0.86109,                0.96123,               0.005941,               0.005941,               0.005941
                     44,                0.97389,                0.81953,                0.91362,                0.66154,                0.77379,                0.77532,                0.56559,                0.97599,                0.85258,                0.93923,               0.005842,               0.005842,               0.005842
                     45,                0.98312,                0.79669,                0.91356,                0.63637,                0.78817,                0.76732,                0.55782,                0.97954,                0.87973,                0.94074,               0.005743,               0.005743,               0.005743
                     46,                0.97011,                 0.8122,                0.91708,                0.67824,                0.77537,                0.77172,                0.56335,                0.97977,                0.84336,                0.94242,               0.005644,               0.005644,               0.005644
                     47,                0.96388,                0.80432,                0.91453,                0.62492,                0.76698,                0.74703,                0.54022,                 1.0174,                0.88939,                0.95163,               0.005545,               0.005545,               0.005545
                     48,                 0.9631,                0.79637,                0.90927,                0.66572,                0.74717,                0.75187,                 0.5477,                 1.0217,                0.92578,                0.95473,               0.005446,               0.005446,               0.005446
                     49,                0.96906,                0.79524,                0.91138,                0.55877,                0.74857,                0.69808,                0.50968,                 1.0046,                0.94826,                0.94791,               0.005347,               0.005347,               0.005347
                     50,                0.96636,                0.79273,                0.91133,                0.60561,                0.71497,                0.70589,                0.51586,                 1.0545,                0.97398,                0.96304,               0.005248,               0.005248,               0.005248
                     51,                0.96024,                0.78889,                0.91068,                0.63886,                 0.7732,                 0.7622,                0.55779,                0.98463,                0.86446,                0.93897,               0.005149,               0.005149,               0.005149
                     52,                0.95184,                 0.7735,                0.91416,                0.66555,                0.77035,                0.77189,                0.56602,                0.99354,                0.83949,                  0.941,                0.00505,                0.00505,                0.00505
                     53,                0.96005,                 0.7822,                0.90305,                0.65699,                0.77501,                0.77453,                0.56367,                   1.01,                0.84927,                0.94977,               0.004951,               0.004951,               0.004951
                     54,                0.95447,                0.78002,                0.90855,                0.67795,                0.76048,                0.76803,                0.56001,                0.99556,                0.86109,                0.94362,               0.004852,               0.004852,               0.004852
                     55,                0.94319,                0.77163,                0.90478,                0.68383,                0.74491,                0.76517,                 0.5548,                 1.0199,                0.88744,                0.95117,               0.004753,               0.004753,               0.004753
                     56,                0.95568,                0.76028,                0.91066,                 0.6365,                0.78269,                0.77351,                0.56591,                0.99383,                0.89343,                0.94426,               0.004654,               0.004654,               0.004654
                     57,                0.95242,                0.75839,                0.90938,                0.66779,                0.75421,                0.77199,                 0.5655,                0.99743,                0.85476,                0.94729,               0.004555,               0.004555,               0.004555
                     58,                0.95268,                0.76073,                0.90247,                0.68181,                0.77671,                0.76582,                0.55568,                 1.0085,                0.86427,                0.94658,               0.004456,               0.004456,               0.004456
                     59,                 0.9511,                0.75155,                 0.9099,                0.66508,                0.78753,                0.78589,                0.57502,                0.98697,                0.85893,                0.94154,               0.004357,               0.004357,               0.004357
                     60,                0.94679,                0.74762,                0.90342,                 0.6666,                0.77038,                0.77357,                0.56587,                0.98394,                0.84877,                0.94128,               0.004258,               0.004258,               0.004258
                     61,                0.94219,                0.75423,                0.90605,                0.66745,                 0.7543,                0.75712,                0.55388,                 1.0222,                0.89093,                0.95443,               0.004159,               0.004159,               0.004159
