                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0706,                 1.0341,                 0.9722,                0.55049,                0.68137,                0.63218,                0.46068,                 1.0194,                 1.0374,                 0.9715,               0.006634,               0.006634,               0.006634
                     37,                 1.0721,                 1.0423,                0.96578,                0.57466,                0.71193,                0.69013,                0.49087,                  1.021,                 1.0057,                0.97491,               0.006535,               0.006535,               0.006535
                     38,                 1.0761,                 1.0236,                0.96578,                0.60182,                0.70063,                0.67761,                0.48433,                 1.0226,                 1.0083,                0.97841,               0.006436,               0.006436,               0.006436
                     39,                 1.0755,                 1.0268,                0.96477,                 0.6145,                0.70042,                0.69571,                0.49863,                 1.0091,                 0.9639,                0.97202,               0.006337,               0.006337,               0.006337
                     40,                 1.0684,                 1.0224,                0.96621,                0.54638,                0.72293,                0.69136,                0.48946,                 1.0378,                 1.0305,                0.98078,               0.006238,               0.006238,               0.006238
                     41,                 1.0688,                 1.0205,                 0.9667,                0.58277,                0.65633,                0.64742,                0.46292,                 1.0241,                 1.1497,                0.97662,               0.006139,               0.006139,               0.006139
                     42,                  1.067,                 1.0166,                0.96837,                0.58196,                0.74384,                0.70634,                0.50664,                 1.0037,                0.96862,                0.96909,                0.00604,                0.00604,                0.00604
                     43,                 1.0529,                0.99147,                0.96389,                0.58736,                0.70287,                0.68311,                0.49071,                 1.0056,                 1.0677,                 0.9716,               0.005941,               0.005941,               0.005941
                     44,                 1.0523,                 1.0096,                0.95868,                0.61903,                0.67271,                 0.6986,                0.49936,                 1.0246,                 1.0309,                0.97474,               0.005842,               0.005842,               0.005842
                     45,                 1.0643,                0.98742,                0.96078,                0.59756,                 0.7062,                0.68454,                0.49777,                 1.0039,                 0.9663,                0.96631,               0.005743,               0.005743,               0.005743
                     46,                 1.0523,                 1.0034,                0.96461,                0.61052,                0.70381,                0.70486,                0.50382,                0.98941,                0.95228,                 0.9642,               0.005644,               0.005644,               0.005644
                     47,                  1.041,                0.98103,                0.95972,                0.57491,                0.71962,                0.68264,                0.48596,                0.99713,                0.98398,                 0.9662,               0.005545,               0.005545,               0.005545
                     48,                 1.0459,                0.98327,                0.95454,                0.60842,                0.68903,                0.69905,                0.50311,                 1.0113,                0.99435,                0.97371,               0.005446,               0.005446,               0.005446
