                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0033,                0.93812,                0.94544,                0.62054,                0.73182,                0.71147,                0.51961,                 1.0012,                0.93139,                0.95821,               0.006634,               0.006634,               0.006634
                     37,                 1.0087,                0.93477,                 0.9398,                0.62692,                 0.7055,                0.70438,                 0.5138,                0.99008,                0.94246,                0.96122,               0.006535,               0.006535,               0.006535
                     38,                 1.0051,                0.91952,                0.93852,                0.63789,                0.73265,                0.72721,                0.52105,                 1.0124,                0.91713,                0.96386,               0.006436,               0.006436,               0.006436
                     39,                 1.0099,                0.92431,                0.93847,                0.61186,                0.76262,                 0.7491,                0.53807,                 0.9958,                0.90872,                0.96064,               0.006337,               0.006337,               0.006337
                     40,                  1.006,                0.91939,                 0.9409,                 0.5991,                0.72181,                0.72204,                0.51533,                 1.0376,                0.98195,                0.97799,               0.006238,               0.006238,               0.006238
                     41,                 1.0032,                0.91991,                0.93917,                0.63209,                0.74904,                0.74166,                0.52632,                 1.0308,                0.89247,                 0.9737,               0.006139,               0.006139,               0.006139
                     42,                 1.0051,                0.91267,                0.94235,                0.59343,                0.78268,                0.74166,                0.53872,                0.98709,                0.94152,                0.95683,                0.00604,                0.00604,                0.00604
                     43,                  0.995,                0.89586,                0.93928,                0.59199,                0.73162,                0.70214,                0.49662,                 1.0372,                0.94861,                0.97077,               0.005941,               0.005941,               0.005941
                     44,                0.99424,                0.90568,                0.93458,                0.63815,                0.74411,                0.74141,                0.53137,                 1.0098,                0.90959,                0.96705,               0.005842,               0.005842,               0.005842
                     45,                 1.0024,                0.88739,                 0.9346,                0.62511,                0.73461,                0.73961,                0.53773,                0.99299,                0.91112,                0.96047,               0.005743,               0.005743,               0.005743
                     46,                0.99402,                0.90242,                0.94003,                0.61671,                0.74813,                0.72519,                0.52609,                0.97563,                0.90981,                0.95357,               0.005644,               0.005644,               0.005644
                     47,                0.98812,                0.89078,                0.93615,                0.60002,                0.76459,                0.74138,                 0.5372,                0.99668,                0.93202,                0.95812,               0.005545,               0.005545,               0.005545
                     48,                0.98817,                0.89193,                0.93075,                0.57244,                0.75717,                0.71135,                0.49168,                 1.1004,                 1.0201,                0.99862,               0.005446,               0.005446,               0.005446
                     49,                0.99625,                0.89002,                 0.9326,                0.61398,                0.74631,                0.74806,                 0.5452,                0.97904,                0.89562,                0.95208,               0.005347,               0.005347,               0.005347
                     50,                0.99327,                0.88295,                0.93256,                0.58935,                0.75965,                0.72601,                0.51994,                 1.0404,                0.93018,                0.96885,               0.005248,               0.005248,               0.005248
                     51,                0.99014,                0.88178,                0.93359,                0.62764,                0.74159,                 0.7404,                0.53707,                0.99167,                0.89725,                0.95157,               0.005149,               0.005149,               0.005149
                     52,                0.98018,                0.87066,                0.93489,                0.63232,                0.77261,                0.75898,                0.54524,                 0.9778,                0.87987,                 0.9513,                0.00505,                0.00505,                0.00505
                     53,                0.98694,                0.88227,                0.92385,                 0.6628,                0.75113,                0.76815,                0.55264,                0.98877,                0.87114,                0.95429,               0.004951,               0.004951,               0.004951
                     54,                0.98359,                0.88039,                0.92952,                0.60277,                0.75503,                0.73353,                0.53161,                 1.0038,                0.92914,                0.95826,               0.004852,               0.004852,               0.004852
                     55,                0.97345,                 0.8724,                0.92537,                0.59217,                0.77063,                0.73943,                0.53847,                0.99273,                0.92365,                0.95395,               0.004753,               0.004753,               0.004753
                     56,                0.98665,                 0.8673,                0.93232,                0.63658,                0.76856,                0.76204,                0.54944,                0.97952,                0.89182,                0.94733,               0.004654,               0.004654,               0.004654
                     57,                0.98263,                 0.8676,                0.92897,                0.63041,                0.77311,                0.76402,                 0.5514,                0.98866,                0.90641,                0.95085,               0.004555,               0.004555,               0.004555
                     58,                0.98329,                 0.8634,                0.92187,                0.65207,                0.74844,                 0.7602,                0.54989,                0.98227,                0.87699,                0.94763,               0.004456,               0.004456,               0.004456
                     59,                0.98231,                0.86199,                0.92882,                0.60216,                0.77552,                0.74865,                 0.5353,                 1.0084,                0.91212,                0.95472,               0.004357,               0.004357,               0.004357
                     60,                0.97972,                0.86072,                0.92143,                0.65566,                0.74915,                0.74844,                0.54481,                0.97396,                0.88072,                0.94181,               0.004258,               0.004258,               0.004258
                     61,                0.97649,                0.86257,                0.92369,                0.64544,                0.74889,                 0.7501,                0.54066,                 1.0004,                0.90913,                0.95162,               0.004159,               0.004159,               0.004159
                     62,                0.97077,                0.86068,                0.91999,                0.63765,                0.76379,                0.75767,                0.54474,                 1.0041,                0.88939,                0.95254,                0.00406,                0.00406,                0.00406
                     63,                0.96786,                0.84362,                0.92092,                0.64846,                0.77516,                0.77427,                0.56346,                0.97055,                0.86426,                0.94266,               0.003961,               0.003961,               0.003961
                     64,                0.97101,                0.84126,                 0.9238,                0.63832,                0.72987,                 0.7486,                0.53674,                 1.0173,                0.89643,                0.95343,               0.003862,               0.003862,               0.003862
                     65,                0.96963,                0.84962,                0.92073,                 0.6514,                0.77224,                0.77859,                0.56026,                 1.0118,                0.86693,                0.95376,               0.003763,               0.003763,               0.003763
                     66,                0.98214,                0.83696,                0.92495,                0.63496,                0.75008,                0.73473,                 0.5334,                0.99361,                 0.9249,                0.94965,               0.003664,               0.003664,               0.003664
                     67,                0.97795,                0.85002,                0.91587,                0.65407,                0.74417,                0.75799,                0.55325,                0.98456,                0.87979,                0.94564,               0.003565,               0.003565,               0.003565
                     68,                0.96242,                0.82778,                0.91886,                0.65972,                0.77398,                 0.7732,                0.56075,                0.98166,                0.88596,                 0.9433,               0.003466,               0.003466,               0.003466
                     69,                0.96029,                0.82236,                0.91883,                0.68027,                0.77006,                0.78291,                0.56621,                0.96179,                0.85965,                0.93786,               0.003367,               0.003367,               0.003367
                     70,                0.96909,                0.82688,                0.91408,                0.66826,                0.75328,                0.77099,                0.55776,                0.98763,                0.86933,                0.94282,               0.003268,               0.003268,               0.003268
                     71,                0.96597,                0.82929,                0.91319,                 0.6456,                0.76348,                0.76095,                0.55103,                0.98908,                0.88081,                0.94354,               0.003169,               0.003169,               0.003169
                     72,                0.96563,                0.82673,                0.92059,                0.60764,                0.77081,                0.75539,                   0.55,                  1.003,                0.90937,                0.94804,                0.00307,                0.00307,                0.00307
                     73,                 0.9708,                0.82458,                0.92226,                0.67277,                0.75743,                0.77925,                0.56082,                0.97623,                0.83446,                0.93864,               0.002971,               0.002971,               0.002971
