                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0192,                0.95442,                0.92684,                0.60653,                0.75453,                0.71769,                0.51991,                 1.0214,                0.96382,                0.94671,               0.006634,               0.006634,               0.006634
                     37,                 1.0258,                0.95181,                  0.921,                0.62476,                0.73557,                0.71369,                0.51751,                  1.026,                0.94029,                 0.9479,               0.006535,               0.006535,               0.006535
                     38,                 1.0264,                0.93842,                0.92135,                0.60795,                0.74452,                0.73001,                0.52178,                 1.0572,                0.95173,                0.95964,               0.006436,               0.006436,               0.006436
                     39,                 1.0242,                0.94178,                0.92144,                0.60511,                0.73184,                0.72457,                0.51834,                 1.0623,                0.95328,                0.95971,               0.006337,               0.006337,               0.006337
                     40,                 1.0218,                0.93732,                0.92393,                0.64722,                0.73462,                0.73161,                0.52606,                 1.0192,                0.95842,                0.94845,               0.006238,               0.006238,               0.006238
                     41,                 1.0181,                0.94039,                0.92199,                0.59786,                0.74423,                0.73354,                0.51149,                 1.1032,                0.95496,                0.97747,               0.006139,               0.006139,               0.006139
                     42,                 1.0187,                0.93248,                0.92333,                0.59223,                0.77327,                 0.7304,                0.53264,                 1.0083,                0.95133,                0.94283,                0.00604,                0.00604,                0.00604
                     43,                 1.0096,                0.91083,                0.92073,                0.62898,                0.76394,                0.73544,                0.53003,                 1.0222,                0.93691,                0.94742,               0.005941,               0.005941,               0.005941
                     44,                 1.0098,                0.92586,                0.91739,                0.65566,                0.76096,                0.76419,                0.55212,                 1.0033,                0.90682,                0.94314,               0.005842,               0.005842,               0.005842
                     45,                 1.0178,                0.90375,                 0.9183,                0.59993,                0.72967,                0.68988,                0.50076,                0.99127,                0.97626,                0.94498,               0.005743,               0.005743,               0.005743
                     46,                 1.0082,                0.91881,                0.92084,                0.64163,                0.73312,                0.73276,                   0.53,                 1.0131,                0.93703,                0.94841,               0.005644,               0.005644,               0.005644
                     47,                0.99998,                0.91041,                0.91827,                0.64383,                0.72874,                 0.7434,                0.54164,                 0.9973,                0.90304,                 0.9403,               0.005545,               0.005545,               0.005545
                     48,                 1.0008,                0.90526,                0.91345,                0.63128,                0.73806,                0.73574,                 0.5303,                 1.0136,                 1.0256,                0.95073,               0.005446,               0.005446,               0.005446
                     49,                 1.0095,                0.90082,                0.91743,                 0.6482,                0.73503,                0.74768,                0.54575,                 1.0078,                0.90864,                0.94224,               0.005347,               0.005347,               0.005347
                     50,                 1.0024,                0.90205,                0.91605,                0.64424,                0.74541,                0.74828,                0.54187,                0.99937,                 0.9074,                0.94066,               0.005248,               0.005248,               0.005248
                     51,                0.99535,                0.89669,                0.91589,                0.61978,                0.76482,                 0.7548,                0.54861,                  1.007,                 0.9199,                0.94263,               0.005149,               0.005149,               0.005149
                     52,                0.99275,                0.88556,                0.91853,                0.65268,                0.76226,                0.76912,                0.55951,                0.99997,                0.89804,                0.94135,                0.00505,                0.00505,                0.00505
                     53,                0.99731,                0.89459,                 0.9088,                0.65619,                0.73609,                 0.7566,                 0.5454,                0.98209,                0.94541,                0.93448,               0.004951,               0.004951,               0.004951
                     54,                0.99497,                0.88858,                 0.9142,                0.67417,                0.74201,                0.77062,                0.55975,                  1.006,                0.90218,                0.94451,               0.004852,               0.004852,               0.004852
                     55,                0.98351,                0.88619,                 0.9117,                0.65058,                0.74506,                0.75219,                0.55204,                0.98684,                 0.8968,                 0.9362,               0.004753,               0.004753,               0.004753
                     56,                0.99771,                0.87897,                0.91663,                0.62368,                0.76491,                0.75382,                0.54719,                0.99654,                 0.9032,                0.94242,               0.004654,               0.004654,               0.004654
                     57,                0.99247,                0.88012,                0.91539,                0.65008,                0.75068,                0.75628,                0.55218,                 1.0115,                0.90135,                0.94379,               0.004555,               0.004555,               0.004555
                     58,                0.99313,                0.87342,                0.90761,                0.65306,                0.75012,                0.75368,                0.54445,                 1.0037,                0.90165,                0.94259,               0.004456,               0.004456,               0.004456
                     59,                0.99064,                 0.8687,                0.91384,                0.64659,                0.76285,                0.75733,                0.55142,                0.99519,                0.89776,                0.93848,               0.004357,               0.004357,               0.004357
                     60,                0.98916,                0.87029,                0.90955,                0.66264,                0.75015,                0.75395,                0.55219,                0.98381,                0.89237,                0.93686,               0.004258,               0.004258,               0.004258
                     61,                0.98215,                0.87032,                0.91143,                0.67059,                0.73698,                0.76253,                0.55191,                 1.0205,                0.90073,                 0.9477,               0.004159,               0.004159,               0.004159
                     62,                0.97604,                0.86752,                0.90824,                0.64716,                0.76198,                0.76147,                 0.5557,                0.98507,                0.86842,                0.93758,                0.00406,                0.00406,                0.00406
                     63,                0.97559,                0.85549,                0.90918,                 0.6603,                0.75721,                0.76525,                0.55872,                0.99673,                0.89248,                0.93972,               0.003961,               0.003961,               0.003961
                     64,                0.97805,                0.85533,                0.91145,                0.66573,                0.75792,                0.76597,                0.55624,                0.99192,                0.89017,                0.93821,               0.003862,               0.003862,               0.003862
                     65,                0.97516,                 0.8655,                0.90913,                 0.6582,                0.77012,                0.77963,                0.56646,                 1.0176,                0.88254,                0.94519,               0.003763,               0.003763,               0.003763
                     66,                0.98996,                0.85061,                0.91392,                0.64297,                0.75827,                0.76052,                0.55622,                 1.0086,                0.88867,                0.94233,               0.003664,               0.003664,               0.003664
                     67,                0.98305,                0.85918,                0.90611,                0.65408,                0.73583,                0.74917,                0.54745,                 1.0081,                 0.8881,                0.94097,               0.003565,               0.003565,               0.003565
                     68,                0.96749,                0.84107,                0.90764,                0.65978,                0.75683,                0.76579,                0.55454,                0.98858,                0.88875,                0.93565,               0.003466,               0.003466,               0.003466
                     69,                0.96246,                0.83408,                0.90722,                0.66597,                0.74665,                0.76622,                0.55749,                0.98302,                0.91557,                0.93431,               0.003367,               0.003367,               0.003367
                     70,                0.97379,                0.84221,                0.90476,                0.64379,                0.77179,                0.77192,                0.56468,                0.99432,                0.88419,                0.93701,               0.003268,               0.003268,               0.003268
                     71,                0.97366,                0.84148,                0.90488,                0.66816,                0.75895,                  0.777,                0.56503,                0.99077,                0.86944,                0.93768,               0.003169,               0.003169,               0.003169
                     72,                0.97153,                0.84322,                0.90962,                0.63907,                0.76935,                0.75375,                0.55217,                0.99457,                0.88839,                0.93862,                0.00307,                0.00307,                0.00307
                     73,                 0.9767,                0.83909,                 0.9114,                 0.6645,                0.77132,                0.77515,                0.56483,                0.99156,                0.87205,                 0.9399,               0.002971,               0.002971,               0.002971
                     74,                0.96637,                0.83413,                0.90617,                0.65665,                0.77218,                0.77515,                 0.5627,                0.97981,                  0.873,                0.93304,               0.002872,               0.002872,               0.002872
                     75,                0.96691,                0.82529,                0.90929,                0.67539,                0.75677,                0.77578,                0.56687,                0.99232,                0.86289,                0.93649,               0.002773,               0.002773,               0.002773
