                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0277,                0.97226,                0.89928,                0.60016,                0.72728,                0.71618,                0.51939,                 1.0328,                0.99427,                0.90756,               0.006634,               0.006634,               0.006634
                     37,                 1.0348,                0.97102,                0.89556,                0.62335,                 0.7568,                0.73196,                0.52077,                  1.014,                0.98224,                0.90364,               0.006535,               0.006535,               0.006535
                     38,                 1.0365,                0.95314,                0.89677,                0.64914,                0.71909,                0.73671,                0.50741,                  1.094,                 1.0437,                0.93425,               0.006436,               0.006436,               0.006436
                     39,                 1.0353,                0.95677,                0.89687,                0.63525,                0.74641,                0.74874,                0.53017,                  1.018,                0.98857,                0.91033,               0.006337,               0.006337,               0.006337
                     40,                 1.0312,                0.95657,                0.89712,                0.63374,                0.75153,                0.75359,                0.53665,                 1.0353,                 0.9741,                0.91693,               0.006238,               0.006238,               0.006238
                     41,                 1.0304,                0.95908,                 0.8971,                0.62998,                0.75445,                0.74495,                0.53035,                 1.0185,                0.96461,                0.91045,               0.006139,               0.006139,               0.006139
                     42,                 1.0262,                0.94919,                0.89623,                0.64397,                0.73848,                0.74649,                0.53701,                 1.0162,                 0.9813,                0.90786,                0.00604,                0.00604,                0.00604
                     43,                 1.0183,                0.93426,                0.89395,                0.63013,                0.75134,                0.73933,                0.53372,                0.99875,                0.96841,                0.90369,               0.005941,               0.005941,               0.005941
                     44,                 1.0207,                0.94625,                0.89327,                0.65581,                0.74401,                0.76097,                0.54613,                0.98643,                0.92494,                0.90027,               0.005842,               0.005842,               0.005842
                     45,                 1.0275,                0.92781,                0.89444,                0.65474,                0.76035,                0.75851,                0.54708,                 1.0162,                 0.9455,                0.91273,               0.005743,               0.005743,               0.005743
                     46,                 1.0159,                0.94113,                0.89333,                0.63849,                0.74956,                0.73401,                0.52507,                 1.0013,                0.95377,                0.90279,               0.005644,               0.005644,               0.005644
                     47,                 1.0126,                  0.931,                0.89329,                0.59755,                0.75879,                0.72492,                0.51604,                 1.0098,                0.96182,                0.90444,               0.005545,               0.005545,               0.005545
                     48,                 1.0109,                0.93058,                0.88901,                0.62184,                0.74224,                0.72814,                0.52515,                 1.0322,                0.99123,                0.91177,               0.005446,               0.005446,               0.005446
                     49,                 1.0221,                0.92671,                 0.8931,                0.63127,                0.74364,                0.74979,                0.53626,                 1.0078,                0.93785,                0.90325,               0.005347,               0.005347,               0.005347
                     50,                 1.0142,                0.92208,                0.89142,                 0.6302,                0.77182,                0.75804,                0.54467,                0.99375,                0.93683,                 0.9006,               0.005248,               0.005248,               0.005248
                     51,                 1.0074,                 0.9147,                0.89037,                0.64631,                0.74038,                0.75684,                0.54359,                0.99057,                0.92419,                0.90113,               0.005149,               0.005149,               0.005149
                     52,                 1.0017,                0.90744,                0.89089,                0.64205,                0.77459,                0.76887,                 0.5547,                0.99135,                0.91437,                0.90091,                0.00505,                0.00505,                0.00505
                     53,                 1.0078,                 0.9147,                0.88613,                0.65126,                0.75873,                 0.7759,                0.55638,                0.98436,                0.90615,                 0.8984,               0.004951,               0.004951,               0.004951
                     54,                 1.0051,                0.91227,                0.88879,                0.66926,                0.76045,                0.77696,                0.55986,                 1.0082,                 0.9196,                0.90617,               0.004852,               0.004852,               0.004852
                     55,                0.99369,                0.90707,                0.88725,                0.64403,                0.77205,                0.76102,                0.54994,                 0.9864,                0.90993,                 0.8994,               0.004753,               0.004753,               0.004753
                     56,                 1.0062,                0.90117,                 0.8917,                0.63281,                0.76069,                 0.7639,                0.55259,                0.99765,                0.94056,                0.90267,               0.004654,               0.004654,               0.004654
